Time,Correct,Real cid,Classified cid,Score,Percentage,Queue Distribution
11365,True,56.0,56.0,0.17322929773072246,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 9}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 74}}"
11377,False,56.0,20.0,0.19508920959196985,0.4117647058823529,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 10}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 74}}"
11390,True,56.0,56.0,0.1720962801409769,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 10}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 75}}"
11419,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 10}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 76}}"
11442,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 10}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 77}}"
11454,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 10}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 78}}"
11552,True,56.0,56.0,0.18114590519835475,1.0,"{17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 10}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 79}}"
11976,True,56.0,56.0,0.17433935525477864,1.0,"{17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 10}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 80}}"
12064,True,56.0,56.0,-1,1.0,"{17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 10}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 81}}"
12260,True,56.0,56.0,-1,1.0,"{17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 10}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 82}}"
12267,True,56.0,56.0,-1,1.0,"{17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 10}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 83}}"
12482,True,56.0,56.0,0.1854512713791337,1.0,"{17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 10}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 84}}"
12537,True,56.0,56.0,-1,1.0,"{17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 10}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 85}}"
12593,True,56.0,56.0,-1,1.0,"{17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 10}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 86}}"
12778,True,56.0,56.0,0.17547224356385413,1.0,"{17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 10}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 87}}"
12806,True,56.0,56.0,-1,1.0,"{17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 10}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 88}}"
12880,True,56.0,56.0,0.16726323779876112,1.0,"{17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 10}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 89}}"
