Time,Real cid,Classified cid,Score,Queue Distribution,Representive,Percentage,Queue Size,Dominated
15567,79.0,79.0,0.07401604453722636,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 2}, 64.0: {64.0: 13}, 79.0: {79.0: 4}}",True,1.0,4,True
15574,79.0,79.0,0.07449473068118095,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 2}, 64.0: {64.0: 13}, 79.0: {79.0: 5}}",True,1.0,5,True
15593,79.0,79.0,0.07099465876817704,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 2}, 64.0: {64.0: 13}, 79.0: {79.0: 6}}",True,1.0,6,True
15602,79.0,79.0,0.06215195171535015,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 2}, 64.0: {64.0: 13}, 79.0: {79.0: 7}}",True,1.0,7,True
15605,79.0,79.0,0.06952450264777456,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 2}, 64.0: {64.0: 13}, 79.0: {79.0: 8}}",True,1.0,8,True
15927,79.0,79.0,0.07266303058713675,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 2}, 64.0: {64.0: 13}, 79.0: {79.0: 9}}",True,1.0,9,True
15992,86.0,86.0,-1,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 2}, 64.0: {64.0: 13}, 79.0: {79.0: 9}, 86.0: {86.0: 1}}",True,1.0,1,True
16006,86.0,86.0,0.20740553736686707,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 2}, 64.0: {64.0: 13}, 79.0: {79.0: 9}, 86.0: {86.0: 2}}",True,1.0,2,True
16028,86.0,86.0,0.19965364784002304,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 2}, 64.0: {64.0: 13}, 79.0: {79.0: 9}, 86.0: {86.0: 3}}",True,1.0,3,True
16127,86.0,86.0,0.2029670923948288,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 2}, 64.0: {64.0: 13}, 79.0: {79.0: 9}, 86.0: {86.0: 4}}",True,1.0,4,True
16150,79.0,79.0,0.07107267032066981,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 2}, 64.0: {64.0: 13}, 79.0: {79.0: 10}, 86.0: {86.0: 4}}",True,1.0,10,True
17428,86.0,86.0,0.20367110520601273,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 2}, 64.0: {64.0: 13}, 79.0: {79.0: 10}, 86.0: {86.0: 5}}",True,1.0,5,True
17516,79.0,79.0,0.07161465063691139,"{7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 2}, 64.0: {64.0: 13}, 79.0: {79.0: 11}, 86.0: {86.0: 5}}",True,1.0,11,True
18511,79.0,79.0,0.07071614163843068,"{60.0: {60.0: 2}, 64.0: {64.0: 13}, 79.0: {79.0: 12}, 86.0: {86.0: 5}}",True,1.0,12,True
18535,86.0,86.0,0.20461047887802125,"{60.0: {60.0: 2}, 64.0: {64.0: 13}, 79.0: {79.0: 12}, 86.0: {86.0: 6}}",True,1.0,6,True
18629,86.0,86.0,0.20495994885762533,"{60.0: {60.0: 2}, 64.0: {64.0: 13}, 79.0: {79.0: 12}, 86.0: {86.0: 7}}",True,1.0,7,True
19828,79.0,60.0,0.07206829637289047,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13}, 79.0: {79.0: 12}, 86.0: {86.0: 7}}",False,0.3333333333333333,3,False
19833,86.0,86.0,0.19766874398503984,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13}, 79.0: {79.0: 12}, 86.0: {86.0: 8}}",True,1.0,8,True
19949,79.0,79.0,0.06876995507627726,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13}, 79.0: {79.0: 13}, 86.0: {86.0: 8}}",True,1.0,13,True
19963,86.0,86.0,0.18339316546916962,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13}, 79.0: {79.0: 13}, 86.0: {86.0: 9}}",True,1.0,9,True
20041,79.0,79.0,0.06432341010524677,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13}, 79.0: {79.0: 14}, 86.0: {86.0: 9}}",True,1.0,14,True
20109,86.0,86.0,0.2028521845738093,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13}, 79.0: {79.0: 14}, 86.0: {86.0: 10}}",True,1.0,10,True
21381,91.0,91.0,-1,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13}, 79.0: {79.0: 14}, 86.0: {86.0: 10}, 91.0: {91.0: 1}}",True,1.0,1,True
21653,91.0,91.0,-1,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13}, 79.0: {79.0: 14}, 86.0: {86.0: 10}, 91.0: {91.0: 2}}",True,1.0,2,True
21657,91.0,91.0,-1,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13}, 79.0: {79.0: 14}, 86.0: {86.0: 10}, 91.0: {91.0: 3}}",True,1.0,3,True
21660,91.0,91.0,-1,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13}, 79.0: {79.0: 14}, 86.0: {86.0: 10}, 91.0: {91.0: 4}}",True,1.0,4,True
21705,91.0,91.0,-1,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13}, 79.0: {79.0: 14}, 86.0: {86.0: 10}, 91.0: {91.0: 5}}",True,1.0,5,True
21867,91.0,91.0,-1,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13}, 79.0: {79.0: 14}, 86.0: {86.0: 10}, 91.0: {91.0: 6}}",True,1.0,6,True
21948,91.0,91.0,-1,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13}, 79.0: {79.0: 14}, 86.0: {86.0: 10}, 91.0: {91.0: 7}}",True,1.0,7,True
21982,91.0,64.0,0.22873931091565353,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13, 91.0: 1}, 79.0: {79.0: 14}, 86.0: {86.0: 10}, 91.0: {91.0: 7}}",False,0.07142857142857142,14,False
22038,91.0,91.0,-1,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13, 91.0: 1}, 79.0: {79.0: 14}, 86.0: {86.0: 10}, 91.0: {91.0: 8}}",True,1.0,8,True
22162,91.0,91.0,-1,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13, 91.0: 1}, 79.0: {79.0: 14}, 86.0: {86.0: 10}, 91.0: {91.0: 9}}",True,1.0,9,True
22402,91.0,91.0,-1,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13, 91.0: 1}, 79.0: {79.0: 14}, 86.0: {86.0: 10}, 91.0: {91.0: 10}}",True,1.0,10,True
22477,91.0,64.0,0.2341619400041444,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13, 91.0: 2}, 79.0: {79.0: 14}, 86.0: {86.0: 10}, 91.0: {91.0: 10}}",False,0.13333333333333333,15,False
22704,91.0,86.0,0.03764353506267071,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13, 91.0: 2}, 79.0: {79.0: 14}, 86.0: {86.0: 10, 91.0: 1}, 91.0: {91.0: 10}}",False,0.09090909090909091,11,False
22713,91.0,91.0,-1,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13, 91.0: 2}, 79.0: {79.0: 14}, 86.0: {86.0: 10, 91.0: 1}, 91.0: {91.0: 11}}",True,1.0,11,True
22745,91.0,91.0,-1,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13, 91.0: 2}, 79.0: {79.0: 14}, 86.0: {86.0: 10, 91.0: 1}, 91.0: {91.0: 12}}",True,1.0,12,True
22772,91.0,91.0,-1,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13, 91.0: 2}, 79.0: {79.0: 14}, 86.0: {86.0: 10, 91.0: 1}, 91.0: {91.0: 13}}",True,1.0,13,True
22865,91.0,91.0,-1,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13, 91.0: 2}, 79.0: {79.0: 14}, 86.0: {86.0: 10, 91.0: 1}, 91.0: {91.0: 14}}",True,1.0,14,True
22973,91.0,91.0,-1,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13, 91.0: 2}, 79.0: {79.0: 14}, 86.0: {86.0: 10, 91.0: 1}, 91.0: {91.0: 15}}",True,1.0,15,True
23044,91.0,64.0,0.08847743471463522,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13, 91.0: 3}, 79.0: {79.0: 14}, 86.0: {86.0: 10, 91.0: 1}, 91.0: {91.0: 15}}",False,0.1875,16,False
23117,91.0,91.0,-1,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13, 91.0: 3}, 79.0: {79.0: 14}, 86.0: {86.0: 10, 91.0: 1}, 91.0: {91.0: 16}}",True,1.0,16,True
23150,91.0,86.0,0.054050552235408264,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13, 91.0: 3}, 79.0: {79.0: 14}, 86.0: {86.0: 10, 91.0: 2}, 91.0: {91.0: 16}}",False,0.16666666666666666,12,False
23190,91.0,86.0,0.06557045551016927,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13, 91.0: 3}, 79.0: {79.0: 14}, 86.0: {86.0: 10, 91.0: 3}, 91.0: {91.0: 16}}",False,0.23076923076923078,13,False
23202,91.0,64.0,0.2277836068533361,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13, 91.0: 4}, 79.0: {79.0: 14}, 86.0: {86.0: 10, 91.0: 3}, 91.0: {91.0: 16}}",False,0.23529411764705882,17,False
23213,91.0,91.0,-1,"{60.0: {60.0: 2, 79.0: 1}, 64.0: {64.0: 13, 91.0: 4}, 79.0: {79.0: 14}, 86.0: {86.0: 10, 91.0: 3}, 91.0: {91.0: 17}}",True,1.0,17,True
